Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_PERC,3P,3PA,3P_PERC,2P,2PA,2P_PERC,FT,FTA,FT_PERC,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_PERC,DRB_PERC,TRB_PERC,AST_PERC,STL_PERC,BLK_PERC,USG_PERC,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017,DeMarre Carroll,SF,31,BRK,71,71,2136,5.4,12.9,0.416,2.4,6.4,0.367,3,6.5,0.464,3.1,4,0.767,1.8,6.2,8,2.4,1,0.5,1.7,2.7,16.2,14.5,0.551,0.497,0.313,5.1,18.5,11.8,10.6,1.3,1.1,19.6,2.4,1.8,4.2,0.095,0.5,-0.1,0.4,1.3
2017,Vince Carter,SF,41,SAC,53,4,937,4.1,10.1,0.405,2,5.9,0.346,2,4.2,0.486,0.9,1.2,0.719,0.6,4.4,5,2.4,1.6,1,1.3,3.4,11.1,10.9,0.522,0.584,0.122,1.9,14.5,7.9,9.5,2.2,2.6,14.8,0.2,0.8,1,0.051,-1.4,0.4,-1.1,0.2
2017,Michael Carter-Williams,PG,26,CHO,52,2,835,3.3,9.9,0.332,0.6,2.5,0.237,2.7,7.3,0.365,3.1,3.8,0.82,1.6,4.4,5.9,5,1.9,1,2.2,4.3,10.3,10.9,0.446,0.258,0.389,4.7,13.4,8.9,19.5,2.6,2.3,16.6,-0.2,1.1,0.9,0.05,-2.7,2,-0.7,0.3
2017,Alex Caruso,PG,23,LAL,30,0,412,2.9,6.8,0.423,0.5,2.4,0.222,2.4,4.5,0.529,1.3,1.9,0.682,0.8,2.9,3.7,5,1.5,0.8,2.5,3.5,7.6,8,0.496,0.346,0.282,2.3,8.5,5.4,18.1,2,1.8,12,-0.1,0.4,0.3,0.035,-4,0.4,-3.6,-0.2
2017,Omri Casspi,SF,29,GSW,53,7,740,5.8,10.1,0.58,0.5,1.1,0.455,5.4,9,0.595,2.4,3.4,0.725,1.5,8.3,9.7,2.5,0.9,0.9,1.8,3.4,14.6,15.5,0.632,0.106,0.333,4.9,24,15.1,9.5,1.2,2,16.3,1.2,1,2.2,0.143,-1.4,0.1,-1.3,0.1
2017,Willie Cauley-Stein,C,24,SAC,68,53,1886,6.6,13.4,0.495,0.1,0.2,0.25,6.6,13.2,0.499,2.7,4.3,0.629,2.4,6.5,8.9,3,1.4,1.2,1.9,3.2,16,17.1,0.524,0.017,0.32,7.2,21.7,14.1,13.2,2,3.1,21.5,1.4,1.9,3.2,0.082,-1.5,1.5,0,1
2017,Tyler Cavanaugh,PF,23,ATL,38,1,509,4.6,10.3,0.448,2.2,6.1,0.36,2.4,4.2,0.576,1.2,1.5,0.81,3,5.7,8.7,1.9,0.6,0.3,1,4.3,12.6,13,0.577,0.593,0.145,9.5,17.7,13.6,8,0.9,0.7,14.4,0.9,0.3,1.2,0.111,0.7,-1.4,-0.7,0.2
2017,Mario Chalmers,PG,31,MEM,62,10,1353,4.2,11.2,0.379,1.3,4.7,0.281,2.9,6.4,0.45,2.8,3.3,0.856,0.3,3.6,4,5,2,0.3,2.9,4.5,12.6,10.1,0.5,0.424,0.298,1.1,12,6.4,21.7,2.8,0.8,19.5,-0.7,1.3,0.6,0.022,-2.4,-0.5,-2.8,-0.3
2017,Tyson Chandler,C,35,PHO,46,46,1151,3.8,5.8,0.647,0,0,,3.8,5.8,0.647,1.8,2.9,0.617,4.2,8.9,13.1,1.7,0.5,0.8,1.8,3.3,9.4,14.2,0.657,0,0.503,12.2,27,19.4,6.6,0.7,1.9,10.6,1.8,0.8,2.6,0.109,-1.4,0.9,-0.4,0.5
2017,Wilson Chandler,SF,30,DEN,69,66,2169,4.4,9.8,0.447,1.4,3.8,0.358,3,6,0.503,1.4,1.8,0.773,1.6,4.4,6.1,2.5,0.7,0.6,1.5,2.4,11.6,11.2,0.543,0.386,0.185,5.1,13.9,9.5,9.8,0.9,1.4,14.6,2,1,3,0.067,-0.4,-0.6,-1,0.6
